answer_en,question_en,context,context_data
"This is the Book of Allah (the Quran). The evidence: 'This is the Book; there is no doubt in it, a guidance for the righteous.' (Al-Baqarah 2:1-2)",What is the only book that is free from any doubt or disbelief?,"Quran Surah 2 Ayah 1:
Alif, Lam, Mim. (Only Allah And The Messenger [Blessings And Peace Be Upon Him] Know The Real Meaning.)

Quran Surah 2 Ayah 2:
(This Is) The Glorious Book In Which There Is No Chance Of Doubt. (It Is) A Guide For Those Who Guard Against Evil And Fear Allah:","[{""index"": 0, ""q_src_id"": 1, ""surah"": 2, ""ayah"": 1, ""ayah_en"": ""Alif, Lam, Mim. (Only Allah And The Messenger [Blessings And Peace Be Upon Him] Know The Real Meaning.)""}, {""index"": 0, ""q_src_id"": 1, ""surah"": 2, ""ayah"": 2, ""ayah_en"": ""(This Is) The Glorious Book In Which There Is No Chance Of Doubt. (It Is) A Guide For Those Who Guard Against Evil And Fear Allah:""}]"
"Yes, and the evidence: 'And give good news to those who believe and do righteous deeds that they will have gardens [in which] rivers flow. Whenever they are given fruit there as provision, they will say,",Are the fruits of paradise similar to the fruits of this world?,"Quran Surah 2 Ayah 25:
And, (O Beloved Prophet,) Give Glad Tidings To Those Who Believe And Keep Doing Pious Deeds That For Them There Are Gardens (Of Paradise) Beneath Which Streams Flow. When Some Fruit Will Be Given To Them From These Gardens To Eat, They Will Say (Looking At Its Appearance): ‘This Is The Same Fruit That Was Provided To Us (In The World) Before,’ Whereas They Will Be Given Fruits Resembling (Only In Appearance). In Paradise, There Will (Also) Be Chaste Spouses For Them, And They Shall Abide There For Ever.","[{""index"": 1, ""q_src_id"": 2, ""surah"": 2, ""ayah"": 25, ""ayah_en"": ""And, (O Beloved Prophet,) Give Glad Tidings To Those Who Believe And Keep Doing Pious Deeds That For Them There Are Gardens (Of Paradise) Beneath Which Streams Flow. When Some Fruit Will Be Given To Them From These Gardens To Eat, They Will Say (Looking At Its Appearance): \u2018This Is The Same Fruit That Was Provided To Us (In The World) Before,\u2019 Whereas They Will Be Given Fruits Resembling (Only In Appearance). In Paradise, There Will (Also) Be Chaste Spouses For Them, And They Shall Abide There For Ever.""}]"
"And you were dead, and He gave you life, then He will cause you to die, then He will bring you to life again, then you will be returned to Him.",How many deaths and how many lives do humans have?,"Quran Surah 2 Ayah 28:
How Can You Deny Allah, Whereas You Were Lifeless And He Gave You Life, Then He Will Cause You To Die And Will Again Bring You Back To Life, And Then To Him You Will Be Returned?","[{""index"": 2, ""q_src_id"": 3, ""surah"": 2, ""ayah"": 28, ""ayah_en"": ""How Can You Deny Allah, Whereas You Were Lifeless And He Gave You Life, Then He Will Cause You To Die And Will Again Bring You Back To Life, And Then To Him You Will Be Returned?""}]"
"He it is Who created for you all that is in the earth. Then He directed Himself to the heaven, and fashioned it as seven heavens. And He is Knower of all things.",How many heavens are there?,"Quran Surah 2 Ayah 29:
He Is The One Who Created For You All That Is In The Earth. Then He Turned Towards The Higher Regions (Of The Universe) And Perfected Them Into Seven Heavenly Firmaments. And He Has Full Knowledge Of Everything.","[{""index"": 3, ""q_src_id"": 4, ""surah"": 2, ""ayah"": 29, ""ayah_en"": ""He Is The One Who Created For You All That Is In The Earth. Then He Turned Towards The Higher Regions (Of The Universe) And Perfected Them Into Seven Heavenly Firmaments. And He Has Full Knowledge Of Everything.""}]"
"He taught Adam the names of all things, then He showed them to the angels and said, 'Inform me of the names of these, if you are truthful' (2:31)","What did Adam (peace be upon him) learn from Allah (glorified and exalted be He), which was not known to the angels?","Quran Surah 2 Ayah 31:
And Allah Taught Adam The Names Of All (Things), And Then Presented Them Before The Angels And Said: ‘Tell Me The Names Of These Things If You Are True (In Your Assumption).’","[{""index"": 4, ""q_src_id"": 5, ""surah"": 2, ""ayah"": 31, ""ayah_en"": ""And Allah Taught Adam The Names Of All (Things), And Then Presented Them Before The Angels And Said: \u2018Tell Me The Names Of These Things If You Are True (In Your Assumption).\u2019""}]"
"The wives of the believers will be in Paradise, never experiencing menstruation. The evidence for this is: 'And give good news to those who believe and do righteous deeds that they will have gardens [in Paradise] beneath which rivers flow. Whenever they are provided with a fruit from it as provision, they will say,",Who are the purified wives?,"Quran Surah 2 Ayah 25:
And, (O Beloved Prophet,) Give Glad Tidings To Those Who Believe And Keep Doing Pious Deeds That For Them There Are Gardens (Of Paradise) Beneath Which Streams Flow. When Some Fruit Will Be Given To Them From These Gardens To Eat, They Will Say (Looking At Its Appearance): ‘This Is The Same Fruit That Was Provided To Us (In The World) Before,’ Whereas They Will Be Given Fruits Resembling (Only In Appearance). In Paradise, There Will (Also) Be Chaste Spouses For Them, And They Shall Abide There For Ever.","[{""index"": 5, ""q_src_id"": 6, ""surah"": 2, ""ayah"": 25, ""ayah_en"": ""And, (O Beloved Prophet,) Give Glad Tidings To Those Who Believe And Keep Doing Pious Deeds That For Them There Are Gardens (Of Paradise) Beneath Which Streams Flow. When Some Fruit Will Be Given To Them From These Gardens To Eat, They Will Say (Looking At Its Appearance): \u2018This Is The Same Fruit That Was Provided To Us (In The World) Before,\u2019 Whereas They Will Be Given Fruits Resembling (Only In Appearance). In Paradise, There Will (Also) Be Chaste Spouses For Them, And They Shall Abide There For Ever.""}]"
"And when We said to the angels, 'Bow down to Adam,' they bowed down, except for Iblis, who refused and was arrogant. He was one of the disbelievers.",Who refused Allah's command to prostrate to Adam (peace be upon him)?,"Quran Surah 2 Ayah 34:
And (Also Recall) When We Commanded The Angels: ‘Prostrate Yourselves Before Adam.’ Then They All Prostrated Themselves To Adam Except Iblis (Satan). He Refused And Showed Arrogance, And (Consequently) Became One Of The Disbelievers.","[{""index"": 6, ""q_src_id"": 7, ""surah"": 2, ""ayah"": 34, ""ayah_en"": ""And (Also Recall) When We Commanded The Angels: \u2018Prostrate Yourselves Before Adam.\u2019 Then They All Prostrated Themselves To Adam Except Iblis (Satan). He Refused And Showed Arrogance, And (Consequently) Became One Of The Disbelievers.""}]"
"In the name of Allah, the Entirely Merciful, the Especially Merciful. [1] All praise is due to Allah, Lord of the worlds. [2] The Entirely Merciful, the Especially Merciful. [3] Sovereign of the Day of Recompense. [4] You alone we worship, and You alone we ask for help. [5] Guide us to the straight path. [6] The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray. [7] The Fatiha.",What are the Seven Sleepers?,"Quran Surah 1 Ayah 1:
All Praise Be To Allah Alone, The Sustainer Of All The Worlds,

Quran Surah 1 Ayah 2:
Most Compassionate, Ever-Merciful,

Quran Surah 1 Ayah 3:
Master Of The Day Of Judgment.

Quran Surah 1 Ayah 4:
(O Allah!) You Alone Do We Worship And To You Alone Do We Look For Help.

Quran Surah 1 Ayah 5:
Show Us The Straight Path,

Quran Surah 1 Ayah 6:
The Path Of Those Upon Whom You Have Bestowed Your Favours,

Quran Surah 1 Ayah 7:
Not Of Those Who Have Been Afflicted With Wrath, Nor Of Those Who Have Gone Astray.","[{""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 1, ""ayah_en"": ""All Praise Be To Allah Alone, The Sustainer Of All The Worlds,""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 2, ""ayah_en"": ""Most Compassionate, Ever-Merciful,""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 3, ""ayah_en"": ""Master Of The Day Of Judgment.""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 4, ""ayah_en"": ""(O Allah!) You Alone Do We Worship And To You Alone Do We Look For Help.""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 5, ""ayah_en"": ""Show Us The Straight Path,""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 6, ""ayah_en"": ""The Path Of Those Upon Whom You Have Bestowed Your Favours,""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 7, ""ayah_en"": ""Not Of Those Who Have Been Afflicted With Wrath, Nor Of Those Who Have Gone Astray.""}]"
Cursed are the Jews and the misguided are the Christians,Who are the 'those upon whom is the anger [of Allah]' and who are the 'those who are astray'?,"Quran Surah 1 Ayah 7:
Not Of Those Who Have Been Afflicted With Wrath, Nor Of Those Who Have Gone Astray.","[{""index"": 8, ""q_src_id"": 9, ""surah"": 1, ""ayah"": 7, ""ayah_en"": ""Not Of Those Who Have Been Afflicted With Wrath, Nor Of Those Who Have Gone Astray.""}]"
"And We said, 'O Adam, dwell you and your wife in the Paradise and eat from it a plentifully wherever you wish, but do not approach this tree, lest you be among the wrongdoers.' (2:35)","When Allah, the Exalted, created Adam and Eve, what was their dwelling?","Quran Surah 2 Ayah 35:
And We Ordained: ‘O Adam, Reside You And Your Wife In This Paradise And Eat Of It, Both Of You, Whatever You Like And From Wherever You Will. But Do Not Go Near This Tree Lest You Should (Join) The Transgressors.’","[{""index"": 9, ""q_src_id"": 10, ""surah"": 2, ""ayah"": 35, ""ayah_en"": ""And We Ordained: \u2018O Adam, Reside You And Your Wife In This Paradise And Eat Of It, Both Of You, Whatever You Like And From Wherever You Will. But Do Not Go Near This Tree Lest You Should (Join) The Transgressors.\u2019""}]"
